Sex,search,intel_led,search_result,officer_race,officer_race3,officer_age,officergender,officer_gender,Age,RateViolentCrime_tract,RatePropertyCrime_tract,RateNarcoticsCrime_tract,escalation,correct_new_contains_intro_greeting,correct_new_intro,correct_new_greeting,correct_new_reason,correct_new_ID,correct_new_details,correct_new_sanction,correct_order_total,correct_new_history,correct_new_search,correct_new_help,correct_new_legitimacy,correct_new_closing,binary_correct_new_contains_intro_greeting,binary_correct_new_intro,binary_correct_new_greeting,binary_correct_new_reason,binary_correct_new_ID,binary_correct_new_details,binary_correct_new_sanction,binary_correct_order_total,binary_correct_new_history,binary_correct_new_search,binary_correct_new_help,binary_correct_new_legitimacy,binary_correct_new_closing
Female,0,0,3,A,Other,25,0,F,41,308.8124529,1225.20713,100.426814,0,1,0,1,0,2,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
Male,0,0,3,A,Other,31,0,F,56,230.6327617,490.8338261,41.39562389,0,2,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,25,0,F,38,383.9824465,625.3428415,52.11190346,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0
Male,0,0,3,A,Other,26,0,F,20,263.9368525,1369.018254,29.60039467,0,2,1,1,1,0,0,0,3,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0
Male,0,0,3,B,Black,31,0,F,61,330.9584004,563.0889451,108.0211446,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
Male,0,0,3,B,Black,31,0,F,48,452.5288376,1237.799468,68.76663709,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,B,Black,37,0,F,34,352.515818,1054.534498,51.22024706,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
Male,0,0,3,B,Black,37,0,F,57,340.3141361,491.5648633,66.89936009,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,B,Black,31,0,F,45,369.2104829,509.3126751,13.18608868,0,2,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Male,0,0,3,B,Black,35,0,F,33,119.9520192,931.6273491,71.97121152,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Male,0,0,3,H,Other,34,0,F,22,316.9014085,544.1741357,113.6363636,0,1,0,1,1,3,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Female,0,0,3,H,Other,34,0,F,55,316.9014085,544.1741357,113.6363636,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
Male,0,0,3,H,Other,39,0,F,52,361.7511521,755.7603687,244.2396313,0,2,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,H,Other,34,0,F,79,248.455731,466.7124228,54.90734386,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0
Male,0,0,3,U,Other,24,0,F,64,397.515528,927.5362319,144.9275362,0,1,0,1,1,2,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,W,White,29,0,F,45,230.6327617,490.8338261,41.39562389,0,1,1,0,1,2,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0
Female,0,0,3,W,White,33,0,F,24,361.9909502,393.6651584,31.67420814,0,3,2,1,1,0,0,0,2,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0
